DATE;SOURCE_ID;EXTERNAL_REFERENCE;RECORD_TYPE;DESCRIPTION;NET_CREDIT_AMOUNT;NET_DEBIT_AMOUNT;GROSS_AMOUNT;SELLER_AMOUNT;MP_FEE_AMOUNT;FINANCING_FEE_AMOUNT;SHIPPING_FEE_AMOUNT;TAXES_AMOUNT;COUPON_AMOUNT;INSTALLMENTS;PAYMENT_METHOD;TAX_DETAIL;TAX_AMOUNT_TELCO;TRANSACTION_APPROVAL_DATE;POS_ID;POS_NAME;EXTERNAL_POS_ID;STORE_ID;STORE_NAME;EXTERNAL_STORE_ID;CURRENCY;TAXES_DISAGGREGATED;SHIPPING_ID;SHIPMENT_MODE;ORDER_ID;PACK_ID;EFFECTIVE_COUPON_AMOUNT
2024-02-04T16:15:53.000-04:00;71628754898;3764479;release;payment;10079.89;0.00;10524.00;0.00;-254.68;0.00;0.00;-189.43;0.00;1;available_money;buenos_aires;0.00;2024-02-01T17:15:33.000-04:00;;;;;;;ARS;"[{"amount":-21.05,"detail":"tax_withholding_sirtac","financial_entity":"buenos_aires"},{"amount":-52.62,"detail":"tax_withholding","financial_entity":"retencion_ganancias"},{"amount":-52.62,"detail":"tax_withholding","financial_entity":"retencion_iva"},{"amount":-63.14,"detail":"tax_withholding_collector","financial_entity":"debitos_creditos"}]";;;;;0.00
2024-02-04T16:15:53.000-04:00;71628754898;3764479;release;reserve_for_dispute;0.00;10079.89;-10079.89;0.00;0.00;0.00;0.00;0.00;0.00;1;available_money;;0.00;2024-02-04T16:15:53.000-04:00;;;;;;;ARS;"[]";;;;;0
2024-02-04T16:16:09.000-04:00;71358460149;3756917;release;payment;5850.07;0.00;5997.00;0.00;-68.97;0.00;0.00;-77.96;0.00;1;debvisa;buenos_aires;0.00;2024-01-31T17:16:24.000-04:00;;;;;;;ARS;"[{"amount":-11.99,"detail":"tax_withholding_sirtac","financial_entity":"buenos_aires"},{"amount":-29.99,"detail":"tax_withholding","financial_entity":"retencion_ganancias"},{"amount":-35.98,"detail":"tax_withholding_collector","financial_entity":"debitos_creditos"}]";;;;;0.00
2024-02-04T16:16:27.000-04:00;70026246624;3541970;release;payment;44221.02;0.00;46053.97;0.00;-1003.98;0.00;0.00;-828.97;0.00;1;visa;buenos_aires;0.00;2024-01-05T17:14:58.000-04:00;;;;;;;ARS;"[{"amount":-92.11,"detail":"tax_withholding_sirtac","financial_entity":"buenos_aires"},{"amount":-276.32,"detail":"tax_withholding_collector","financial_entity":"debitos_creditos"},{"amount":-460.54,"detail":"tax_withholding","financial_entity":"retencion_ganancias"}]";;;;;0.00
2024-02-04T16:16:55.000-04:00;71628577464;3764433;release;payment;6501.54;0.00;6788.00;0.00;-164.27;0.00;0.00;-122.19;0.00;1;available_money;buenos_aires;0.00;2024-02-01T17:13:49.000-04:00;;;;;;;ARS;"[{"amount":-13.58,"detail":"tax_withholding_sirtac","financial_entity":"buenos_aires"},{"amount":-33.94,"detail":"tax_withholding","financial_entity":"retencion_ganancias"},{"amount":-33.94,"detail":"tax_withholding","financial_entity":"retencion_iva"},{"amount":-40.73,"detail":"tax_withholding_collector","financial_entity":"debitos_creditos"}]";;;;;0.00
2024-02-04T16:17:12.000-04:00;70004046034;3539128;release;payment;4122.03;0.00;4360.00;0.00;-95.05;0.00;0.00;-142.92;0.00;1;master;buenos_aires;0.00;2024-01-05T17:12:44.000-04:00;;;;;;;ARS;"[{"amount":-15.88,"detail":"tax_withholding_sirtac","financial_entity":"buenos_aires"},{"amount":-47.64,"detail":"tax_withholding_collector","financial_entity":"debitos_creditos"},{"amount":-79.40,"detail":"tax_withholding","financial_entity":"retencion_ganancias"}]";;;;;0.00
2024-02-04T16:17:30.000-04:00;69865047127;3545005;release;payment;8999.97;0.00;9373.02;0.00;-204.33;0.00;0.00;-168.72;0.00;1;master;buenos_aires;0.00;2024-01-05T17:18:22.000-04:00;;;;;;;ARS;"[{"amount":-18.75,"detail":"tax_withholding_sirtac","financial_entity":"buenos_aires"},{"amount":-56.24,"detail":"tax_withholding_collector","financial_entity":"debitos_creditos"},{"amount":-93.73,"detail":"tax_withholding","financial_entity":"retencion_ganancias"}]";;;;;0.00
2024-02-04T16:17:30.000-04:00;69865047127;3545005;release;refund;0.00;4396.77;-4579.02;0.00;99.82;0.00;0.00;82.43;0.00;1;master;buenos_aires;0.00;2024-01-06T15:39:42.000-04:00;;;;;;;ARS;"[{"amount":9.16,"detail":"tax_withholding_sirtac","financial_entity":"buenos_aires"},{"amount":27.48,"detail":"tax_withholding_collector","financial_entity":"debitos_creditos"},{"amount":45.79,"detail":"tax_withholding","financial_entity":"retencion_ganancias"}]";;;;;0.00
2024-02-04T16:18:17.000-04:00;71358461205;3756937;release;payment;2026.51;0.00;2077.40;0.00;-23.89;0.00;0.00;-27.00;0.00;1;debvisa;buenos_aires;0.00;2024-01-31T17:19:30.000-04:00;;;;;;;ARS;"[{"amount":-4.15,"detail":"tax_withholding_sirtac","financial_entity":"buenos_aires"},{"amount":-10.39,"detail":"tax_withholding","financial_entity":"retencion_ganancias"},{"amount":-12.46,"detail":"tax_withholding_collector","financial_entity":"debitos_creditos"}]";;;;;0.00
2024-02-04T16:18:30.000-04:00;71029551185;3712771;release;payment;4349.02;0.00;4603.12;0.00;-194.25;0.00;0.00;-59.85;0.00;1;consumer_credits;buenos_aires;0.00;2024-01-25T17:18:02.000-04:00;;;;;;;ARS;"[{"amount":-9.21,"detail":"tax_withholding_sirtac","financial_entity":"buenos_aires"},{"amount":-23.02,"detail":"tax_withholding","financial_entity":"retencion_ganancias"},{"amount":-27.62,"detail":"tax_withholding_collector","financial_entity":"debitos_creditos"}]";;;;;0.00
