DATE,SOURCE_ID,EXTERNAL_REFERENCE,RECORD_TYPE,DESCRIPTION,NET_CREDIT_AMOUNT,NET_DEBIT_AMOUNT,GROSS_AMOUNT,SELLER_AMOUNT,MP_FEE_AMOUNT,FINANCING_FEE_AMOUNT,SHIPPING_FEE_AMOUNT,TAXES_AMOUNT,COUPON_AMOUNT,INSTALLMENTS,PAYMENT_METHOD,TAX_DETAIL,TAX_AMOUNT_TELCO,TRANSACTION_APPROVAL_DATE,POS_ID,POS_NAME,EXTERNAL_POS_ID,STORE_ID,STORE_NAME,EXTERNAL_STORE_ID,CURRENCY,TAXES_DISAGGREGATED,SHIPPING_ID,SHIPMENT_MODE,ORDER_ID,PACK_ID,EFFECTIVE_COUPON_AMOUNT
2024-02-04T07:48:04.000-04:00,71389957561,3759779.0,release,refund,0.0,199.89,-209.8,0.0,5.08,0.0,0.0,4.83,0.0,1,available_money,caba,0.0,2024-02-01T09:09:31.000-04:00,,,,,,,ARS,"[{amount"":0.42,""detail"":""tax_withholding_sirtac"",""financial_entity"":""caba""},{""amount"":1.05,""detail"":""tax_withholding"",""financial_entity"":""caba""},{""amount"":1.05,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":1.05,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":1.26,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""}]""",,,,,0.0
2024-02-04T07:48:06.000-04:00,70003217184,3538984.0,release,payment,4142.3,0.0,4314.0,0.0,-94.05,0.0,0.0,-77.65,0.0,1,visa,buenos_aires,0.0,2024-01-05T08:48:35.000-04:00,,,,,,,ARS,"[{amount"":-8.63,""detail"":""tax_withholding_sirtac"",""financial_entity"":""buenos_aires""},{""amount"":-25.88,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-43.14,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""}]""",,,,,0.0
2024-02-04T07:48:40.000-04:00,69829734209,3542060.0,release,payment,9044.13,0.0,9419.0,0.0,-205.33,0.0,0.0,-169.54,0.0,1,visa,buenos_aires,0.0,2024-01-05T08:47:56.000-04:00,,,,,,,ARS,"[{amount"":-18.84,""detail"":""tax_withholding_sirtac"",""financial_entity"":""buenos_aires""},{""amount"":-56.51,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-94.19,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""}]""",,,,,0.0
2024-02-04T07:48:51.000-04:00,69938425992,3529323.0,release,payment,23876.92,0.0,24875.97,0.0,-542.29,0.0,0.0,-456.76,0.0,1,visa,buenos_aires,0.0,2024-01-05T08:48:03.000-04:00,,,,,,,ARS,"[{amount"":-50.75,""detail"":""tax_withholding_sirtac"",""financial_entity"":""buenos_aires""},{""amount"":-152.25,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-253.76,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""}]""",,,,,0.0
2024-02-04T07:50:06.000-04:00,71390020151,3759767.0,release,payment,25282.15,0.0,26396.06,0.0,-638.78,0.0,0.0,-475.13,0.0,1,available_money,entre_rios,0.0,2024-02-01T08:48:10.000-04:00,,,,,,,ARS,"[{amount"":-52.79,""detail"":""tax_withholding_sirtac"",""financial_entity"":""entre_rios""},{""amount"":-131.98,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-131.98,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":-158.38,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""}]""",,,,,0.0
2024-02-04T07:50:06.000-04:00,71390020151,3759767.0,release,refund,0.0,660.88,-690.0,0.0,16.7,0.0,0.0,12.42,0.0,1,available_money,entre_rios,0.0,2024-02-02T04:36:58.000-04:00,,,,,,,ARS,"[{amount"":1.38,""detail"":""tax_withholding_sirtac"",""financial_entity"":""entre_rios""},{""amount"":3.45,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":3.45,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":4.14,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""}]""",,,,,0.0
2024-02-04T07:50:21.000-04:00,69632489568,3507925.0,release,payment,2170.5,0.0,2537.91,0.0,-55.33,0.0,0.0,-312.08,0.0,1,master,buenos_aires,0.0,2024-01-05T08:48:37.000-04:00,,,,,,,ARS,"[{amount"":-74.30,""detail"":""tax_withholding_sirtac"",""financial_entity"":""buenos_aires""},{""amount"":-89.17,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-148.61,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""}]""",,,,,0.0
2024-02-04T07:50:31.000-04:00,69699288075,3526041.0,release,payment,13564.83,0.0,14127.08,0.0,-307.97,0.0,0.0,-254.28,0.0,1,master,buenos_aires,0.0,2024-01-05T08:45:34.000-04:00,,,,,,,ARS,"[{amount"":-28.25,""detail"":""tax_withholding_sirtac"",""financial_entity"":""buenos_aires""},{""amount"":-84.76,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-141.27,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""}]""",,,,,0.0
2024-02-04T07:50:31.000-04:00,69699288075,3526041.0,release,refund,0.0,2661.93,-2772.26,0.0,60.44,0.0,0.0,49.89,0.0,1,master,buenos_aires,0.0,2024-01-08T09:34:15.000-04:00,,,,,,,ARS,"[{amount"":5.54,""detail"":""tax_withholding_sirtac"",""financial_entity"":""buenos_aires""},{""amount"":16.63,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":27.72,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""}]""",,,,,0.0
2024-02-04T07:50:43.000-04:00,71596666960,3759765.0,release,payment,76149.35,0.0,79504.44,0.0,-1924.01,0.0,0.0,-1431.08,0.0,1,available_money,entre_rios,0.0,2024-02-01T08:46:54.000-04:00,,,,,,,ARS,"[{amount"":-159.01,""detail"":""tax_withholding_sirtac"",""financial_entity"":""entre_rios""},{""amount"":-397.52,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-397.52,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":-477.03,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""}]""",,,,,0.0
